anio,dependencia,establecimiento_id,region_sanitaria,municipio_id,municipio_nombre,establecimiento_nombre,consultas_odontologicas,consultas_medicas,consultas_paramedicas,interconsultas,egresos,dias_camas_disponible,promedio_camas_disponibles,pacientes_dias,porcentaje_ocupacion,dias_estadia,promedio_dias_estadia,defunciones,giro_de_camas,tasa_mortalidad_hospitalaria
2024,Municipal,70000117,I,6700,Saavedra,Unid. Sanit. Colonia San Martín,,2.145,,,,,,,,,,,,
2024,Municipal,70000125,I,6700,Saavedra,Hogar de Ancianos Juan Llull,,,,,7,3.66,10,3.398,"92,8","0,7",5.848,"835,4",4,"57,1"
2024,Municipal,70000168,I,6700,Saavedra,Hogar Federico O. Ducos,,,,,20,13.176,36,12.558,"95,3","0,6",9.083,"454,2",0,"0,0"
2024,Municipal,81900006,I,6818,Tornquist,Hosp. Zonal Gral. de Ag. M. V. de Martinez,,,75,46,1,920,5,1.089,"118,4","0,2",26,"26,0",1,"100,0"
2024,Municipal,81900012,I,6819,Tornquist,Hosp. Zonal Gral. de Ag. M. V. de Martinez,1.695,14.053,1.436,,,,,,,,,,,
2024,Municipal,81900021,I,6819,Tornquist,Hosp. Zonal Gral. de Ag. M. V. de Martinez,3.366,45.665,6.964,,2.642,4.026,11,4.316,"107,2","239,5",3.767,"1,4",9,"0,3"
2024,Municipal,81900039,I,6819,Tornquist,Hosp. Zonal Gral. de Ag. M. V. de Martinez,3.965,93.419,11.207,,3.018,20.862,57,22.592,"108,3","52,8",25.399,"8,4",43,"1,4"
2024,Municipal,81900047,I,6819,Tornquist,Hosp. Zonal Gral. de Ag. M. V. de Martinez,2.985,13.799,159,,,,,,,,,,,
2024,Municipal,81900055,I,6819,Tornquist,Hosp. Zonal Gral. de Ag. M. V. de Martinez,1.403,12.564,,,,,,,,,,,,
2024,Municipal,81900071,I,6819,Tornquist,Hosp. Zonal Gral. de Ag. M. V. de Martinez,1.253,14.077,,,,,,,,,,,,
2024,Municipal,81900080,I,6819,Tornquist,Hosp. Zonal Gral. de Ag. M. V. de Martinez,1.882,16.777,,,,,,,,,,,,
2024,Municipal,81900098,I,6819,Tornquist,Hosp. Zonal Gral. de Ag. M. V. de Martinez,,,,,5,9.704,27,9.616,"99,1","0,2",15.698,"3.139,6",4,"80,0"
